name,value,year,lastValue,rank
Estado de Mexico,2536,2019,2520,3
Estado de Mexico,2520,2018.9,2500,3
Estado de Mexico,2500,2018.8,2480,3
Estado de Mexico,2480,2018.7,2460,3
Estado de Mexico,2460,2018.6,2440,3
Estado de Mexico,2440,2018.5,2420,3
Estado de Mexico,2420,2018.4,2410,3
Estado de Mexico,2410,2018.3,2390,3
Estado de Mexico,2390,2018.2,2370,3
Estado de Mexico,2370,2018.1,2350,3
Estado de Mexico,2350,2018,2320,3
Estado de Mexico,2320,2017.9,2288,3
Estado de Mexico,2288,2017.8,2256,3
Estado de Mexico,2256,2017.7,2224,3
Estado de Mexico,2224,2017.6,2192,3
Estado de Mexico,2192,2017.5,2160,3
Estado de Mexico,2160,2017.4,2128,3
Estado de Mexico,2128,2017.3,2096,3
Estado de Mexico,2096,2017.2,2064,3
Estado de Mexico,2064,2017.1,2032,3
Estado de Mexico,2032,2017,2035,3
Estado de Mexico,2035,2016.9,2037,2
Estado de Mexico,2037,2016.8,2039,2
Estado de Mexico,2039,2016.7,2041,2
Estado de Mexico,2041,2016.6,2043,2
Estado de Mexico,2043,2016.5,2045,2
Estado de Mexico,2045,2016.4,2047,2
Estado de Mexico,2047,2016.3,2049,2
Estado de Mexico,2049,2016.2,2051,2
Estado de Mexico,2051,2016.1,2053,2
Estado de Mexico,2053,2016,2050,2
Estado de Mexico,2050,2015.9,2047,1
Estado de Mexico,2047,2015.8,2044,1
Estado de Mexico,2044,2015.7,2041,1
Estado de Mexico,2041,2015.6,2037,1
Estado de Mexico,2037,2015.5,2034,1
Estado de Mexico,2034,2015.4,2031,1
Estado de Mexico,2031,2015.3,2028,1
Estado de Mexico,2028,2015.2,2025,1
Estado de Mexico,2025,2015.1,2022,1
Estado de Mexico,2022,2015,2020,1
Estado de Mexico,2020,2014.9,2018,1
Estado de Mexico,2018,2014.8,2015,1
Estado de Mexico,2015,2014.7,2012,1
Estado de Mexico,2012,2014.6,2009,1
Estado de Mexico,2009,2014.5,2006,1
Estado de Mexico,2006,2014.4,2003,1
Estado de Mexico,2003,2014.3,2000,1
Estado de Mexico,2000,2014.2,1997,1
Estado de Mexico,1997,2014.1,1994,1
Estado de Mexico,1994,2014,1989,1
Estado de Mexico,1989,2013.9,1984,2
Estado de Mexico,1984,2013.8,1977,2
Estado de Mexico,1977,2013.7,1970,2
Estado de Mexico,1970,2013.6,1963,2
Estado de Mexico,1963,2013.5,1957,2
Estado de Mexico,1957,2013.4,1950,2
Estado de Mexico,1950,2013.3,1944,2
Estado de Mexico,1944,2013.2,1938,2
Estado de Mexico,1938,2013.1,1932,2
Estado de Mexico,1932,2013,1950,2
Estado de Mexico,1950,2012.9,1970,2
Estado de Mexico,1970,2012.8,1990,2
Estado de Mexico,1990,2012.7,2010,2
Estado de Mexico,2010,2012.6,2030,2
Estado de Mexico,2030,2012.5,2050,2
Estado de Mexico,2050,2012.4,2070,2
Estado de Mexico,2070,2012.3,2090,2
Estado de Mexico,2090,2012.2,2110,2
Estado de Mexico,2110,2012.1,2130,2
Estado de Mexico,2130,2012,2070,2
Estado de Mexico,2070,2011.9,2008,4
Estado de Mexico,2008,2011.8,1946,4
Estado de Mexico,1946,2011.7,1884,4
Estado de Mexico,1884,2011.6,1822,4
Estado de Mexico,1822,2011.5,1760,4
Estado de Mexico,1760,2011.4,1698,4
Estado de Mexico,1698,2011.3,1636,4
Estado de Mexico,1636,2011.2,1574,4
Estado de Mexico,1574,2011.1,1512,4
Estado de Mexico,1512,2011,1477,4
Estado de Mexico,1477,2010.9,1441,4
Estado de Mexico,1441,2010.8,1405,4
Estado de Mexico,1405,2010.7,1369,4
Estado de Mexico,1369,2010.6,1333,4
Estado de Mexico,1333,2010.5,1297,4
Estado de Mexico,1297,2010.4,1261,4
Estado de Mexico,1261,2010.3,1225,4
Estado de Mexico,1225,2010.2,1189,4
Estado de Mexico,1189,2010.1,1153,4
Estado de Mexico,1153,2010,1174,4
Estado de Mexico,1174,2009.9,1193,3
Estado de Mexico,1193,2009.8,1212,3
Estado de Mexico,1212,2009.7,1231,3
Estado de Mexico,1231,2009.6,1250,3
Estado de Mexico,1250,2009.5,1269,3
Estado de Mexico,1269,2009.4,1288,3
Estado de Mexico,1288,2009.3,1307,3
Estado de Mexico,1307,2009.2,1326,3
Estado de Mexico,1326,2009.1,1345,3
Estado de Mexico,1345,2009,1333,3
Estado de Mexico,1333,2008.9,1325,2
Estado de Mexico,1325,2008.8,1317,2
Estado de Mexico,1317,2008.7,1309,2
Estado de Mexico,1309,2008.6,1301,2
Estado de Mexico,1301,2008.5,1293,2
Estado de Mexico,1293,2008.4,1285,2
Estado de Mexico,1285,2008.3,1277,2
Estado de Mexico,1277,2008.2,1269,2
Estado de Mexico,1269,2008.1,1261,2
Estado de Mexico,1261,2008,1244,2
Estado de Mexico,1244,2007.9,1231,1
Estado de Mexico,1231,2007.8,1218,1
Estado de Mexico,1218,2007.7,1205,1
Estado de Mexico,1205,2007.6,1192,1
Estado de Mexico,1192,2007.5,1179,1
Estado de Mexico,1179,2007.4,1166,1
Estado de Mexico,1166,2007.3,1153,1
Estado de Mexico,1153,2007.2,1140,1
Estado de Mexico,1140,2007.1,1127,1
Estado de Mexico,1127,2007,1200,1
Estado de Mexico,1200,2006.9,1374,1
Estado de Mexico,1374,2006.8,1548,1
Estado de Mexico,1548,2006.7,1722,1
Estado de Mexico,1722,2006.6,1896,1
Estado de Mexico,1896,2006.5,2070,1
Estado de Mexico,2070,2006.4,2244,1
Estado de Mexico,2244,2006.3,2418,1
Estado de Mexico,2418,2006.2,2592,1
Estado de Mexico,2592,2006.1,2766,1
Estado de Mexico,2766,2006,2718,1
Estado de Mexico,2718,2005.9,2673,1
Estado de Mexico,2673,2005.8,2628,1
Estado de Mexico,2628,2005.7,2583,1
Estado de Mexico,2583,2005.6,2538,1
Estado de Mexico,2538,2005.5,2493,1
Estado de Mexico,2493,2005.4,2448,1
Estado de Mexico,2448,2005.3,2403,1
Estado de Mexico,2403,2005.2,2358,1
Estado de Mexico,2358,2005.1,2313,1
Estado de Mexico,2313,2005,2315,1
Estado de Mexico,2315,2004.9,2375,1
Estado de Mexico,2375,2004.8,2435,1
Estado de Mexico,2435,2004.7,2495,1
Estado de Mexico,2495,2004.6,2555,1
Estado de Mexico,2555,2004.5,2615,1
Estado de Mexico,2615,2004.4,2675,1
Estado de Mexico,2675,2004.3,2735,1
Estado de Mexico,2735,2004.2,2795,1
Estado de Mexico,2795,2004.1,2855,1
Estado de Mexico,2855,2004,2855,1
Guerrero,1580,2019,1637,7
Guerrero,1637,2018.9,1702,4
Guerrero,1702,2018.8,1767,4
Guerrero,1767,2018.7,1832,4
Guerrero,1832,2018.6,1897,4
Guerrero,1897,2018.5,1962,4
Guerrero,1962,2018.4,2027,4
Guerrero,2027,2018.3,2092,4
Guerrero,2092,2018.2,2157,4
Guerrero,2157,2018.1,2222,4
Guerrero,2222,2018,2229,4
Guerrero,2229,2017.9,2238,1
Guerrero,2238,2017.8,2247,1
Guerrero,2247,2017.7,2256,1
Guerrero,2256,2017.6,2265,1
Guerrero,2265,2017.5,2274,1
Guerrero,2274,2017.4,2283,1
Guerrero,2283,2017.3,2292,1
Guerrero,2292,2017.2,2301,1
Guerrero,2301,2017.1,2310,1
Guerrero,2310,2017,2303,1
Guerrero,2303,2016.9,2293,1
Guerrero,2293,2016.8,2283,1
Guerrero,2283,2016.7,2273,1
Guerrero,2273,2016.6,2263,1
Guerrero,2263,2016.5,2253,1
Guerrero,2253,2016.4,2243,1
Guerrero,2243,2016.3,2233,1
Guerrero,2233,2016.2,2223,1
Guerrero,2223,2016.1,2213,1
Guerrero,2213,2016,2196,1
Guerrero,2196,2015.9,2176,2
Guerrero,2176,2015.8,2156,2
Guerrero,2156,2015.7,2136,2
Guerrero,2136,2015.6,2116,2
Guerrero,2116,2015.5,2096,2
Guerrero,2096,2015.4,2076,2
Guerrero,2076,2015.3,2056,2
Guerrero,2056,2015.2,2036,2
Guerrero,2036,2015.1,2016,2
Guerrero,2016,2015,1964,2
Guerrero,1964,2014.9,1914,2
Guerrero,1914,2014.8,1864,2
Guerrero,1864,2014.7,1814,2
Guerrero,1814,2014.6,1764,2
Guerrero,1764,2014.5,1714,2
Guerrero,1714,2014.4,1664,2
Guerrero,1664,2014.3,1614,2
Guerrero,1614,2014.2,1564,2
Guerrero,1564,2014.1,1514,2
Guerrero,1514,2014,1574,2
Guerrero,1574,2013.9,1631,1
Guerrero,1631,2013.8,1688,1
Guerrero,1688,2013.7,1745,1
Guerrero,1745,2013.6,1802,1
