name,value,year,lastValue,rank
Estado de Mexico,2862,2001,2726,1
Oaxaca,1311,2001,1292,2
Guerrero,1255,2001,1399,3
Chiapas,1252,2001,1270,4
Ciudad de Mexico,807,2001,709,5
Sinaloa,551,2001,501,6
Puebla,502,2001,573,7
Jalisco,488,2001,486,8
Chihuahua,480,2001,437,9
Michoacan,475,2001,487,10
Veracruz,467,2001,465,11
Baja California,456,2001,460,12
Tlaxcala,352,2001,280,13
Durango,321,2001,268,14
Quintana roo,252,2001,245,15
Guanajuato,233,2001,219,16
San Luis Potosi,195,2001,254,17
Morelos,193,2001,352,18
Sonora,185,2001,194,19
Tabasco,169,2001,210,20
Tamaulipas,165,2001,221,21
Hidalgo,148,2001,115,22
Nuevo Leon,140,2001,123,23
Nayarit,127,2001,121,24
Coahuila,118,2001,113,25
Zacatecas,94,2001,96,26
Queretaro,86,2001,62,27
Colima,56,2001,45,28
Campeche,52,2001,55,29
Baja California Sur,25,2001,31,30
Aguascalientes,22,2001,14,31
Yucatan,16,2001,26,32
Estado de Mexico,2870,2002,2862,1
Oaxaca,1427,2002,1311,2
Chiapas,1056,2002,1252,3
Guerrero,1035,2002,1255,4
Ciudad de Mexico,748,2002,807,5
Chihuahua,528,2002,480,6
Sinaloa,485,2002,551,7
Baja California,466,2002,456,8
Puebla,463,2002,502,9
Veracruz,450,2002,467,10
Jalisco,431,2002,488,11
Michoacan,428,2002,475,12
Tlaxcala,309,2002,352,13
San Luis Potosi,245,2002,195,14
Durango,232,2002,321,15
Morelos,226,2002,193,16
Guanajuato,208,2002,233,17
Quintana roo,194,2002,252,18
Tamaulipas,184,2002,165,19
Sonora,165,2002,185,20
Tabasco,141,2002,169,21
Coahuila,131,2002,118,22
Hidalgo,129,2002,148,23
Nuevo Leon,124,2002,140,24
Nayarit,117,2002,127,25
Zacatecas,104,2002,94,26
Queretaro,71,2002,86,27
Campeche,52,2002,52,28
Colima,45,2002,56,29
Yucatan,30,2002,16,30
Baja California Sur,28,2002,25,31
Aguascalientes,26,2002,22,32
Estado de Mexico,2741,2003,2870,1
Oaxaca,1571,2003,1427,2
Chiapas,921,2003,1056,3
Guerrero,808,2003,1035,4
Ciudad de Mexico,715,2003,748,5
Veracruz,501,2003,450,6
Puebla,488,2003,463,7
Sinaloa,482,2003,485,8
Baja California,479,2003,466,9
Chihuahua,471,2003,528,10
Michoacan,440,2003,428,11
Jalisco,424,2003,431,12
Tlaxcala,286,2003,309,13
Tamaulipas,244,2003,184,14
Quintana roo,228,2003,194,15
Durango,216,2003,232,16
Guanajuato,213,2003,208,17
Sonora,203,2003,165,18
Morelos,173,2003,226,19
Tabasco,150,2003,141,20
Nuevo Leon,135,2003,124,21
San Luis Potosi,121,2003,245,22
